UF_str;Pop_nr;Altitude_val;Area_val;Latitude_val;Longitude_val;Rendimentos_val;FPM_val;ReceitaTrib_val;QtdeDecl_nr;RendTrib_val
AL;5844;31,0;39,7;-9,64;35,8;481,88;6171603,0;213975,0;226;8,64
AL;56153;16,0;918,2;-10,13;36,18;4462,11;22629211,0;3194893,0;2705;84,43
AL;24166;252,0;271,3;-9,62;36,77;1180,26;12343206,0;625913,0;474;14,94
AL;51349;256,0;607,8;-9,39;38,0;4675,48;20572010,0;2963947,0;2854;112,74000000000001
AL;11229;245,0;140,5;-9,39;37,1;825,83;0,0;0,0;245;8,530000000000001
AL;18198;0,0;259,8;-9,39;36,76;806,9;12343206,0;453558,0;258;7,92
AL;22406;220,0;172,7;-9,9;36,68;1435,81;12343206,0;404638,0;469;17,66
AL;4714;6,0;91,8;-10,29;36,31;234,14;6171603,0;190055,0;131;3,94
AL;12890;78,0;333,2;-9,2;35,78;764,34;0,0;0,0;120;4,36
AL;40100;244,0;500,6;-9,88;36,83;1610,51;0,0;0,0;823;30,259999999999998
AL;15783;505,0;265,3;-8,97;35,94;1084,15;10286005,0;574106,0;319;10,219999999999999
AL;26060;240,0;334,5;-9,54;36,63;1201,31;0,0;0,0;581;20,88
AL;24455;14,0;427,0;-10,13;36,66;1215,53;12343206,0;454729,0;449;15,399999999999999
AL;18535;410,0;376,9;-9,22;37,75;921,49;0,0;0,0;302;8,51
AL;5469;135,0;142,3;-9,64;37,2;637,92;6171603,0;226086,0;125;5,15
AL;7177;74,0;210,4;-8,84;35,46;412,72;6171603,0;458885,0;148;4,83
AL;8294;5,0;85,9;-9,09;35,26;580,89;0,0;0,0;255;9,129999999999999
AL;5706;164,0;103,7;-9,66;37,0;362,38;6171603,0;316182,0;147;4,76
AL;11918;0,0;351,6;0,0;0,0;0,0;8228804,0;2388906,0;251;8,870000000000001
AL;23941;104,0;298,3;-9,13;35,75;1302,93;0,0;0,0;409;11,1
AL;4253;94,0;92,2;-8,93;35,57;291,04;6171603,0;204842,0;107;3,56
AL;25078;175,0;241,6;-9,93;36,48;1911,76;0,0;0,0;816;26,65
AL;18437;283,0;88,5;-9,83;36,74;1206,44;12343206,0;606221,0;472;18,46
AL;28439;140,0;315,8;-9,74;36,5;1518,03;14400407,0;557576,0;553;18,29
AL;1005319;16,0;503,1;-9,67;35,74;222232,33;344037690,0;272096529,0;129534;8150,120000000001
AL;19963;182,0;453,9;-9,53;36,99;1070,97;12343206,0;690151,0;494;18,42
AL;31748;5,0;334,0;-9,01;35,22;1565,38;14400407,0;4337332,0;1089;36,03
AL;9962;362,0;302,1;-9,24;37,35;638,71;8228804,0;602204,0;300;10,48
AL;50512;31,0;331,7;-9,71;35,9;3929,33;20573138,0;12125584,0;3664;182,72
AL;13719;157,0;174,3;-9,58;36,31;1549,98;10286055,0;763224,0;459;15,65
AL;3674;542,0;93,1;-9,45;36,39;260,12;0,0;0,0;91;3,17
AL;25659;633,0;908,0;-9,12;37,73;1511,49;14400407,0;233732,0;645;19,79
AL;25006;16,0;220,0;-9,15;35,53;1549,83;0,0;0,0;777;25,03
AL;17350;148,0;113,8;-9,38;35,84;848,87;10286037,0;470388,0;399;13,879999999999999
AL;5432;270,0;167,6;-9,31;36,86;344,0;6171603,0;174840,0;136;4,56
AL;7230;228,0;86,1;-9,6;37,25;664,59;6171603,0;341156,0;156;5,21
AL;28201;82,0;426,8;-9,31;35,94;1881,06;14400407,0;3410344,0;736;23,270000000000003
AL;12583;146,0;233,4;-8,92;35,65;682,65;8228804,0;1068297,0;264;8,149999999999999
AL;21572;286,0;183,4;-9,54;37,29;1767,43;12343206,0;910709,0;870;34,75
AL;9209;230,0;322,9;-9,5;37,83;318,17;6171603,0;303371,0;185;6,18
AL;5169;118,0;118,5;-10,06;36,82;237,78;0,0;0,0;81;2,96
AL;11643;231,0;173,0;-9,52;37,19;424,71;8228804,0;251566,0;200;6,72
AL;11484;380,0;204,8;-9,17;37,36;673,86;8228804,0;277459,0;372;11,489999999999998
AL;4970;160,0;48,9;-9,67;37,33;248,51;0,0;0,0;132;5,08
AL;73725;342,0;452,7;-9,41;36,63;7933,38;0,0;0,0;5069;210,23000000000002
AL;24924;19,0;683,0;-9,75;37,44;2059,8;14400407,0;723357,0;895;38,42
AL;10688;0,0;258,5;-9,25;38,0;502,33;8228804,0;576615,0;300;9,99
AL;12687;0,0;93,0;-9,47;35,55;650,16;8228804,0;669426,0;511;20,049999999999997
AL;15396;4,0;244,5;-9,24;35,49;939,42;0,0;0,0;270;7,98
AL;7683;292,0;118,5;-9,37;36,37;466,43;6171603,0;472281,0;190;7,55
AL;63842;27,0;689,2;-10,29;36,59;7096,74;22629211,0;4210372,0;3810;174,35000000000002
AL;17977;3,0;240,0;-10,41;36,43;1374,8;12343206,0;538001,0;552;21,09
AL;35153;13,0;249,7;-9,6;35,96;2755,52;16457608,0;6164652,0;1725;65,81
AL;2958;310,0;117,6;-9,48;36,29;190,03;6171603,0;100218,0;56;2,0
AL;24759;88,0;408,1;-9,62;37,76;1774,15;12343206,0;733606,0;1137;56,67
AL;14449;292,0;291,9;-9,31;37,29;462,41;10287005,0;285188,0;200;7,029999999999999
AL;27171;54,0;307,9;-9,05;35,4;1626,32;0,0;0,0;1076;32,32
AL;8253;22,0;257,7;-9,16;35,3;516,32;6171603,0;781302,0;181;5,93
AL;20138;10,0;241,9;-10,19;36,84;1085,44;12359430,0;1091130,0;514;21,35
AL;11644;366,0;319,8;-9,32;36,47;881,8;8228804,0;1009570,0;467;18,02
AL;75267;39,0;306,3;-9,48;35,85;6943,18;0,0;0,0;3297;129,79000000000002
AL;6819;32,0;129,3;-9,83;35,98;449,28;6171603,0;121604,0;113;3,73
AL;7292;32,0;29,6;-9,6;35,82;533,22;0,0;0,0;332;13,95
AL;47593;250,0;437,9;-9,38;37,25;3877,56;20572010,0;2263300,0;2108;89,07
AL;11070;221,0;224,8;-9,17;36,22;744,39;0,0;0,0;186;6,75
AL;7020;25,0;139,9;-10,13;36,9;439,61;6171603,0;85929,0;204;8,350000000000001
AL;23950;256,0;256,6;-9,01;36,06;1773,17;0,0;0,0;728;26,35
AL;32075;255,0;495,1;-9,56;37,38;1208,17;14400407,0;562401,0;1311;38,07
AL;34436;4,0;397,2;-9,32;35,56;2050,3;0,0;0,0;1041;38,55
AL;59830;12,0;360,8;-9,78;36,09;6214,45;22629211,0;8767275,0;3382;128,06
AL;7795;1,0;76,7;-9,27;35,37;462,86;6171603,0;190289,0;229;6,67
AL;34024;201,0;315,1;-9,93;36,55;2043,22;16457608,0;2018950,0;846;32,18
AL;13241;6,0;42,6;-9,56;35,82;1618,92;0,0;0,0;685;27,25
AL;13839;352,0;342,7;-9,47;37,46;460,16;8228804,0;325648,0;206;7,870000000000001
AL;6346;212,0;129,5;-9,53;36,43;425,86;6171603,0;151360,0;120;4,3999999999999995
AL;19856;159,0;166,0;-9,65;36,5;1056,55;12343206,0;758208,0;552;21,21
AL;43895;156,0;297,9;-9,91;36,35;3006,98;0,0;0,0;1562;48,44
AL;27648;10,0;698,0;-9,97;37,0;1005,13;0,0;0,0;438;20,14
AL;65764;155,0;420,7;-9,16;36,03;5285,22;24717128,0;5787586,0;2234;83,91
AL;26249;210,0;343,4;-9,37;36,24;2405,02;11722816,0;1857523,0;1003;43,36
AM;15357;75,0;5911,8;-3,22;64,8;1127,3;6846253,0;487361,0;274;11,32
AM;10644;58,0;4758,7;-3,36;68,2;425,81;5080677,0;442447,0;205;8,370000000000001
AM;11981;28,0;2453,9;-3,58;61,4;642,08;6774237,0;2088129,0;211;8,46
AM;18826;120,0;5795,3;-3,77;61,64;1027,53;8467796,0;700736,0;377;14,68
AM;20258;135,0;54239,9;-7,2;59,89;1790,09;9794354,0;925096,0;863;34,41
AM;17658;65,0;76351,9;-4,37;70,19;762,94;8467796,0;363290,0;397;17,73
AM;36301;36,0;7599,4;-3,58;59,13;2118,3;13548473,0;1864055,0;1029;36,73
AM;27273;47,0;122476,0;-0,97;62,92;1657,58;11513564,0;353926,0;589;28,330000000000002
AM;30202;19,0;5750,6;-2,79;57,07;1371,62;11854914,0;1666051,0;769;25,22
AM;38533;65,0;8793,4;-4,38;70,03;1757,09;13548473,0;1842511,0;1037;42,99
AM;17755;35,0;17250,7;-3,9;61,37;756,65;8467796,0;567093,0;410;15,809999999999999
AM;17248;32,0;2586,8;-2,97;57,59;594,32;0,0;0,0;346;12,879999999999999
AM;33148;116,0;21952,8;-8,75;67,4;2540,02;0,0;0,0;1557;61,66
AM;38688;45,0;44251,7;-4,39;59,59;1708,47;13548473,0;1377632,0;866;30,59
AM;12214;32,0;9456,6;-3,33;61,21;691,28;0,0;0,0;293;10,09
AM;14944;55,0;29819,7;-6,53;64,38;667,85;6774237,0;1088383,0;230;9,38
AM;27645;87,0;25767,7;-4,88;66,9;1897,76;11854914,0;1992434,0;1050;39,25
AM;35938;27,0;6091,5;-3,77;60,37;1962,74;13548473,0;1449242,0;799;28,81
AM;27357;25,0;2631,1;-3,2;59,81;1443,29;11854914,0;1079710,0;399;14,33
AM;82209;10,0;57921,9;-4,09;63,14;5415,53;22016269,0;42107803,0;2925;121,53999999999999
AM;26242;47,0;18711,5;-3,84;62,06;1211,18;0,0;0,0;517;20,41
AM;33580;124,0;15011,8;-6,66;69,87;1808,73;0,0;0,0;920;37,650000000000006
AM;18422;135,0;7499,4;-7,43;70,02;836,12;8467796,0;387473,0;424;14,969999999999999
AM;21295;62,0;12110,9;-2,51;66,09;1438,55;10161355,0;1164602,0;531;20,67
AM;15561;0,0;7579,6;-7,55;72,58;456,84;8489911,0;278428,0;210;9,440000000000001
AM;50230;58,0;33071,8;-7,51;63,02;4344,11;15242033,0;3301400,0;2775;122,25
AM;26118;190,0;12044,8;-7,05;71,69;573,77;10161355,0;635166,0;311;13,93
AM;45250;60,0;2214,3;-3,28;60,19;3645,28;15242033,0;5009071,0;1498;56,269999999999996
AM;95714;26,0;8892,0;-3,14;58,44;8357,44;23709828,0;5598409,0;5067;209,17
AM;8205;60,0;25276,0;-6,43;68,25;418,19;4064542,0;489590,0;217;7,96
AM;8864;43,0;4231,1;-2,75;58,02;541,47;5080677,0;1804537,0;306;11,48
AM;5599;50,0;55791,9;-1,83;66,6;542,32;5080677,0;431174,0;166;7,1499999999999995
AM;12807;55,0;19400,7;-3,48;66,07;526,84;6774237,0;798614,0;237;8,4
AM;16977;48,0;69551,9;-2,75;66,77;1477,48;0,0;0,0;347;14,23
AM;42439;75,0;68234,0;-7,26;64,8;1873,45;15242033,0;1321654,0;1033;41,96
AM;92996;60,0;7330,1;-3,3;60,62;7368,11;0,0;0,0;4869;187,78
AM;27480;48,0;3975,8;-3,43;60,46;1436,32;10161355,0;665950,0;369;13,95
AM;2020301;92,0;11401,1;-3,1;60,03;363753,33;264220946,0;587413917,0;254035;14695,710000000001
AM;52200;45,0;48282,7;-5,81;61,3;2658,86;13692506,0;1674583,0;1517;51,120000000000005
AM;18367;50,0;16910,4;-1,86;65,58;967,23;10161355,0;645486,0;236;8,870000000000001
AM;58834;25,0;39989,9;-3,38;57,72;3800,14;0,0;0,0;1832;63,25
AM;20078;25,0;14105,6;-2,19;56,71;1053,32;10161355,0;881791,0;425;16,95
AM;34498;32,0;5608,6;-3,89;59,09;1686,78;13548473,0;1006720,0;554;21,69
AM;17199;45,0;37771,3;-2,62;60,94;897,61;0,0;0,0;562;20,25
AM;23905;20,0;41188,5;-5,12;60,38;1204,51;0,0;0,0;534;16,02
AM;110411;27,0;5952,4;-2,63;56,74;8372,58;27096947,0;7769600,0;5288;229,92000000000002
AM;19265;101,0;41610,3;-7,71;66,98;654,9;10161355,0;683389,0;476;16,7
AM;31903;122,0;25422,3;-2,03;60,03;3339,07;11854914,0;8602034,0;2264;99,87
AM;29771;47,0;5813,2;-2,7;59,7;1884,81;11854914,0;2731637,0;779;29,0
AM;21702;60,0;62846,4;-0,41;65,02;586,49;10161355,0;463636,0;263;10,530000000000001
AM;24005;91,0;12307,2;-3,1;67,94;1364,51;11854914,0;565959,0;413;18,75
AM;42342;132,0;109184,0;-0,13;67,09;3389,92;13548473,0;938635,0;2056;102,47
AM;35757;102,0;19745,9;-3,38;68,87;1154,02;13548473,0;979970,0;599;26,6
AM;12451;24,0;10741,1;-2,57;57,87;527,89;6774237,0;620758,0;277;10,19
AM;9014;46,0;3748,8;-2,84;58,21;570,3;5080677,0;1483002,0;400;12,04
AM;59684;60,0;3224,9;-4,25;69,94;5380,49;0,0;0,0;3125;153,93
AM;18266;54,0;89325,3;-5,63;63,18;959,91;8215504,0;510052,0;358;15,86
AM;62662;75,0;23704,5;-3,35;64,71;7600,15;16467639,0;5254375,0;3234;152,92000000000002
AM;18322;55,0;6432,7;-2,87;67,8;883,95;10161355,0;540812,0;316;12,75
AM;12963;60,0;10246,2;-2,99;65,11;771,1;6774237,0;203908,0;238;9,5
AM;17264;26,0;27903,4;-2,54;57,76;2608,44;10161355,0;3997709,0;659;24,4
AM;20621;40,0;2906,7;-3,13;58,16;773,9;10161355,0;617742,0;426;14,74
AP;4850;0,0;7756,1;0,9;52,0;434,04;3202101,0;513690,0;361;16,93
AP;8553;8,0;9175,9;2,05;50,79;981,61;0,0;0,0;513;26,7
AP;13411;0,0;9495,5;0,78;51,94;377,44;3905249,0;5934932,0;447;18,53
AP;9979;12,0;14269,3;2,5;50,95;797,91;3066002,0;1427224,0;491;19,66
AP;5291;0,0;2114,2;0,99;50,8;276,16;3066002,0;159313,0;100;3,7699999999999996
AP;6714;50,0;5046,2;0,86;51,18;366,34;3066002,0;3363234,0;369;17,060000000000002
AP;4836;27,0;1704,0;0,71;50,8;251,76;0,0;0,0;97;4,59
AP;44777;22,0;30971,8;-1,12;52,0;4441,19;9606304,0;5174781,0;2768;110,18
AP;446757;16,0;6408,5;0,04;51,07;71004,34;146429003,0;54826664,0;56992;3728,9
AP;19157;60,0;13130,9;-0,12;51,29;1029,41;6404203,0;783518,0;660;29,87
AP;23628;10,0;22625,1;3,84;51,84;3399,68;6132004,0;1322243,0;1659;69,61
AP;19191;60,0;4401,8;0,71;51,41;1654,82;5110003,0;1279311,0;1055;45,04
AP;4404;0,0;4956,5;1,74;50,79;216,91;3066002,0;44175,0;63;3,45
AP;110565;15,0;1579,6;-0,06;51,18;12902,82;0,0;0,0;9410;501,67999999999995
AP;14754;13,0;6709,6;1,51;50,91;661,35;4088003,0;536794,0;302;12,600000000000001
AP;14045;0,0;2482,9;-0,92;52,41;910,52;4101018,0;1123506,0;653;22,92
BA;9243;641,0;530,5;-13,25;41,66;900,33;6111789,0;461350,0;230;9,07
BA;19290;318,0;1485,0;-8,72;39,11;1101,67;6881081,0;506194,0;403;16,07
BA;15668;162,0;193,4;-11,66;38,02;1101,64;0,0;0,0;442;15,740000000000002
BA;17044;300,0;632,1;-10,53;38,1;1244,43;10186316,0;728278,0;370;9,89
BA;16959;312,0;661,9;-11,87;38,77;862,2;10186316,0;581509,0;376;14,36
BA;11472;688,0;701,4;-13,42;42,14;895,61;8149053,0;319728,0;114;5,11
BA;4790;198,0;159,7;-14,13;39,89;471,0;6111792,0;319931,0;153;5,91
BA;153560;132,0;752,4;-12,14;38,42;23279,34;36670737,0;22247219,0;15569;815,8
BA;23231;9,0;1481,3;-17,52;39,2;2433,64;12223579,0;6216047,0;822;31,45
BA;6234;279,0;251,1;-14,71;39,64;642,56;0,0;0,0;200;7,24
BA;37557;400,0;463,2;-13,03;39,6;3807,34;16298105,0;1762977,0;2129;79,38999999999999
BA;26458;217,0;173,5;-12,39;38,76;3005,31;14260842,0;1117788,0;1407;57,55
BA;16904;666,0;839,3;-11,46;41,44;1007,73;10186316,0;727654,0;338;11,16
BA;20388;384,0;1947,4;-14,61;41,14;1903,19;0,0;0,0;443;16,0
BA;13716;405,0;1861,7;-12,81;41,33;1179,57;10186316,0;879179,0;332;11,07
BA;14862;428,0;1247,6;-10,34;39,84;1199,02;10186316,0;1042678,0;739;29,57
BA;14742;470,0;1527,9;-12,01;44,69;1038,71;10186316,0;572465,0;399;16,0
BA;11209;235,0;177,0;-12,15;39,25;584,01;8149053,0;396354,0;157;6,09
BA;18970;510,0;319,6;-10,4;38,33;1397,68;0,0;0,0;443;18,33
BA;12216;191,0;294,5;-12,44;39,12;905,95;8149053,0;449625,0;110;4,390000000000001
BA;12083;472,0;313,9;-10,57;40,28;700,52;0,0;0,0;290;10,25
BA;19063;186,0;561,8;-11,66;38,08;1181,77;0,0;0,0;405;16,26
BA;7780;278,0;154,9;-13,86;39,74;521,51;6111789,0;174600,0;156;4,37
BA;14158;740,0;1489,8;-14,43;41,46;1065,64;10186316,0;596533,0;252;6,83
BA;12402;145,0;487,1;-12,21;38,2;648,66;0,0;0,0;426;14,45
BA;56023;272,0;1556,1;-11,33;38,97;2781,16;22409895,0;2480347,0;1547;50,03
BA;11237;394,0;329,6;-12,08;38,5;884,85;6111789,0;878404,0;315;13,8
BA;11779;152,0;375,2;-15,26;39,41;794,66;0,0;0,0;192;6,4
BA;9104;36,0;181,1;-13,08;39,0;689,63;6111789,0;479876,0;204;8,57
BA;13301;52,0;457,8;-14,32;39,33;1052,66;0,0;0,0;359;13,84
BA;14126;667,0;3342,6;-12,31;44,53;938,44;10186316,0;1382315,0;445;15,06
BA;21186;369,0;946,6;-11,96;40,17;1496,13;12223579,0;643503,0;594;22,23
BA;12560;340,0;227,2;-10,58;38,61;746,63;8149053,0;157591,0;235;6,92
BA;53786;406,0;11412,8;-11,09;43,14;2462,46;20372631,0;2389322,0;1687;63,42
BA;22566;1026,0;1346,6;-13,63;41,33;2362,51;12223579,0;909775,0;1190;36,510000000000005
BA;35200;847,0;646,6;-14,88;40,58;2890,35;16298105,0;1718407,0;770;34,769999999999996
BA;14540;715,0;1540,6;-11,81;42,06;1207,94;9753404,0;541485,0;468;18,009999999999998
BA;6518;142,0;208,4;-14,21;39,6;636,99;0,0;0,0;162;5,83
BA;152208;452,0;7859,1;-12,15;44,99;29863,69;36670737,0;21177964,0;16069;750,79
BA;15230;705,0;416,7;-11,76;41,91;899,84;0,0;0,0;264;8,07
BA;15624;0,0;201,0;0,0;0,0;0,0;0,0;0,0;601;18,130000000000003
BA;6627;100,0;128,4;-14,81;39,47;700,85;0,0;0,0;0;0,0
BA;23620;8,0;1961,2;-15,86;38,88;2314,47;12223579,0;2969685,0;1123;42,41
BA;18459;819,0;629,1;-15,04;41,26;1732,57;10186316,0;806233,0;376;12,96
BA;15769;249,0;550,0;-11,62;38,8;1175,06;10256862,0;811641,0;292;10,9
BA;14861;726,0;868,8;-14,36;40,21;1102,78;0,0;0,0;357;12,92
BA;18677;317,0;2811,1;-12,66;40,61;1065,81;12223579,0;1017916,0;359;11,969999999999999
BA;68922;436,0;4200,3;-13,26;43,42;6853,85;24447158,0;5091765,0;3884;170,35
BA;10597;600,0;421,5;-14,37;40,51;524,65;6111789,0;238701,0;117;3,58
BA;14490;955,0;934,0;-12,7;41,83;950,08;10186316,0;491703,0;299;12,77
BA;16730;990,0;726,6;-11,97;41,27;971,27;0,0;0,0;361;9,74
BA;22409;641,0;1482,7;-12,82;42,73;1778,17;12223579,0;1103621,0;732;22,45
BA;11089;685,0;645,5;-13,38;42,52;614,59;8149053,0;592910,0;236;11,71
BA;15265;611,0;480,8;-13,1;39,8;1576,39;0,0;0,0;402;12,739999999999998
BA;10624;542,0;2744,5;-12,48;43,97;472,59;8149053,0;518649,0;150;3,5300000000000002
BA;11158;813,0;2240,0;-12,0;42,63;819,21;8149053,0;3231823,0;365;11,73
BA;69022;422,0;2226,8;-14,2;41,67;8298,32;24447158,0;8543766,0;5226;203,92
BA;19297;107,0;230,5;-14,96;39,3;1617,31;12223579,0;299980,0;878;31,549999999999997
BA;21418;492,0;3942,2;-10,71;43,63;695,69;0,0;0,0;354;9,82
BA;10486;307,0;491,3;-14,98;40,41;1026,1;8149053,0;546761,0;127;4,23
BA;18850;210,0;226,0;-12,54;39,19;1002,08;12223579,0;304505,0;290;10,61
BA;34394;5,0;395,2;-12,62;38,96;3619,9;16298105,0;1566339,0;1833;73,58
BA;23392;587,0;668,4;-14,5;42,22;2945,17;12223579,0;1145921,0;1288;41,53
BA;10282;472,0;548,1;-11,09;40,44;799,33;8149053,0;611801,0;227;10,25
BA;15913;455,0;774,7;-14,34;40,91;797,15;8307486,0;164680,0;319;8,280000000000001
BA;52353;824,0;2442,9;-14,07;42,48;4905,76;20372631,0;7536628,0;3197;157,57999999999998
BA;18595;770,0;675,4;-11,69;41,47;1371,05;12223579,0;590164,0;482;15,47
BA;17457;19,0;461,0;-13,49;39,04;929,75;10186316,0;4007383,0;631;14,6
BA;13555;492,0;455,2;-11,02;40,3;653,54;8149053,0;233549,0;256;8,59
BA;33135;180,0;626,7;-15,42;39,5;3301,05;16298105,0;2476069,0;1809;64,01
BA;281413;36,0;784,7;-12,7;38,32;26234,38;67581348,0;149425706,0;31525;1467,5900000000001
BA;36321;40,0;920,4;-13,94;39,1;2631,64;16298105,0;1311812,0;1591;46,269999999999996
BA;29877;477,0;2781,4;-9,52;43,01;1749,37;14260842,0;1287585,0;498;16,13
BA;71900;556,0;7258,6;-10,51;40,32;5578,01;24447158,0;5259661,0;3360;123,69999999999999
BA;10137;680,0;437,2;-13,07;44,2;782,6;6129581,0;621897,0;203;5,8
BA;26200;691,0;576,4;-11,68;41,77;1877,49;14260842,0;482094,0;656;23,38
BA;33415;4,0;1327,0;-15,68;38,95;4231,82;16298105,0;1325280,0;1851;65,97999999999999
BA;9075;240,0;445,1;-11,81;39,12;698,19;0,0;0,0;263;6,58
BA;88308;97,0;258,4;-12,67;38,55;11322,13;28521684,0;44093053,0;8357;310,42
BA;14599;578,0;418,0;-14,41;42,87;860,95;8149053,0;444158,0;376;16,85
BA;26952;627,0;1617,5;-15,51;41,24;3121,16;14260842,0;1251091,0;882;24,15
BA;35135;395,0;1344,8;-10,67;39,5;1774,85;16298105,0;845661,0;863;29,590000000000003
BA;17070;402,0;3219,3;-9,9;39,03;1027,43;0,0;0,0;481;16,61
BA;12123;412,0;649,5;-11,67;39,84;1269,96;8149053,0;525206,0;290;9,42
BA;29107;416,0;336,2;-11,38;40,01;2500,41;14260842,0;1405475,0;1464;50,519999999999996
BA;10150;401,0;805,6;-14,73;41,26;1275,2;8149053,0;400372,0;117;3,01
BA;22442;10,0;2393,4;-17,73;39,27;3809,29;12223579,0;7106369,0;1020;41,260000000000005
BA;9681;60,0;220,8;-11,94;37,95;568,21;6111789,0;1200723,0;298;11,24
BA;29864;440,0;2736,9;-14,3;43,77;1781,42;14260842,0;1789319,0;1026;34,349999999999994
BA;71504;397,0;9647,0;-9,16;40,97;4936,22;0,0;0,0;1944;61,18
BA;27194;278,0;711,7;-12,77;39,43;2018,78;14268549,0;856933,0;1030;42,260000000000005
BA;3644;650,0;642,6;-12,32;44,86;194,5;6111789,0;248159,0;87;2,91
BA;55380;100,0;416,2;-12,35;38,38;6467,31;22409895,0;10639244,0;5382;263,24
BA;9762;591,0;664,6;-13,33;42,29;568,5;6111789,0;275549,0;94;3,59
BA;18101;698,0;602,4;-11,14;42,11;1365,68;0,0;0,0;429;18,33
BA;11484;350,0;3005,3;-8,98;39,1;697,25;8149053,0;281760,0;313;14,100000000000001
BA;34540;436,0;673,0;-10,6;38,38;3147,96;16301001,0;1475435,0;1206;48,75
BA;16938;132,0;128,3;-11,1;38,51;1433,94;10186316,0;616841,0;934;34,97
BA;20183;195,0;282,6;-14,64;39,55;2727,88;12223579,0;617200,0;1198;42,36
